Ascii file,Date,JD
SN2018cow_20180622_073917_het_v1.ascii,20180622,2458291.5
SN2018cow_20180624_redblu_120031.835.ascii,20180624,2458293.5
SN2018cow_20180626_071233_het_v1.ascii,20180626,2458295.5
SN2018cow_20180626_redblu_092729.180.ascii,20180626,2458295.6
SN2018cow_20180628_redblu_082501.371.ascii,20180628,2458297.5
SN2018cow_20180630_redblu_091140.958.ascii,20180630,2458300.5
SN2018cow_20180704_redblu_113249.073.ascii,20180704,2458303.5
SN2018cow_20180706_redblu_102207.257.ascii,20180706,2458304.5
SN2018cow_20180708_redblu_085316.245.ascii,20180708,2458306.5
SN2018cow_20180710_redblu_075606.077.ascii,20180710,2458308.5
SN2018cow_20180711_redblu_094907.840.ascii,20180711,2458309.5
SN2018cow_20180713_redblu_074304.611.ascii,20180713,2458311.5
SN2018cow_20180714_redblu_081803.527.ascii,20180714,2458313.5
SN2018cow_20180716_redblu_072425.056.ascii,20180716,2458315.5
SN2018cow_20180717_redblu_082520.100.ascii,20180717,2458316.5
SN2018cow_20180719_redblu_081929.273.ascii,20180719,2458318.5
SN2018cow_20180722_redblu_064921.067.ascii,20180722,2458321.5
SN2018cow_20180724_redblu_081403.926.ascii,20180724,2458323.5
SN2018cow_20180725_redblu_074015.359.ascii,20180725,2458324.5
SN2018cow_20180726_redblu_081427.008.ascii,20180726,2458325.5
SN2018cow_20180731_red_084936.153.ascii,20180731,2458330.5
SN2018cow_20180803_redblu_055923.442.ascii,20180803,2458333.5